v5.13,v5.15.180,v6.1,v6.13.9
False,True,False,False
True,True,True,False
False,False,False,False
True,False,False,False
False,True,True,False
False,True,False,False
True,False,True,False
True,False,True,False
True,True,False,True
False,False,True,True
True,True,True,False
False,False,True,False
True,False,True,False
False,True,False,True
True,True,True,True
True,False,True,True
True,False,True,True
False,False,False,False
False,True,True,False
True,False,False,False
True,False,False,False
True,True,True,True
False,False,True,False
False,True,False,True
False,False,False,False
True,False,True,False
False,True,False,True
True,False,True,False
True,False,True,False
False,True,True,True
True,False,False,True
False,True,False,True
False,False,False,False
False,True,False,False
False,True,False,False
False,False,False,False
False,True,True,False
False,True,True,True
False,True,False,False
False,False,True,True
False,False,False,True
False,True,False,True
False,True,False,True
False,False,True,False
True,True,False,True
False,True,True,True
True,True,True,False
False,False,True,False
True,True,True,True
False,False,True,True
False,True,True,False
False,True,False,False
False,True,True,False
False,True,True,True
True,False,True,False
True,False,False,True
False,True,True,True
True,False,True,False
False,True,True,False
True,False,True,True
True,False,True,False
True,False,False,False
True,True,True,False
True,True,True,False
False,True,True,False
True,True,True,False
True,True,True,False
False,True,False,True
True,False,True,False
False,True,True,True
False,True,True,True
False,True,True,False
True,True,False,False
False,True,True,True
True,False,True,False
True,True,True,False
True,False,True,False
False,True,True,False
True,False,True,True
False,False,True,True
False,False,True,False
False,True,True,True
False,True,True,True
True,False,True,True
True,True,True,True
True,True,True,True
False,True,False,False
False,True,True,True
True,False,False,False
False,True,False,True
False,True,False,False
True,True,True,False
True,True,True,False
False,False,True,False
True,True,False,True
True,True,False,True
True,True,True,True
False,True,False,True
True,False,False,False
True,False,True,False
True,True,False,True
True,True,False,False
True,False,True,True
True,True,True,False
False,True,False,True
True,True,False,False
False,False,False,True
False,True,True,True
False,False,False,False
False,False,False,False
False,True,True,True
True,False,True,False
True,False,False,True
True,False,True,False
True,True,True,False
False,False,True,False
False,False,False,False
False,False,False,True
True,False,False,False
True,False,True,False
False,True,True,False
True,True,True,False
False,True,False,False
True,False,False,False
False,True,True,False
True,True,True,True
True,True,True,False
False,False,True,True
False,True,True,True
True,True,False,False
False,True,True,False
False,False,True,True
True,True,False,False
True,True,False,False
True,False,True,True
False,True,True,True
False,False,False,True
True,True,True,False
False,False,True,False
False,True,False,False
False,True,True,True
False,False,True,False
True,True,False,False
True,False,False,False
False,False,False,True
False,False,False,False
True,True,False,True
True,True,True,False
False,True,True,False
False,True,False,False
False,True,True,False
False,True,True,False
True,False,True,True
False,True,False,True
True,True,True,True
False,True,True,False
True,False,True,False
False,True,False,True
False,True,True,False
True,True,False,False
True,True,True,False
True,False,False,True
True,True,False,False
True,True,False,False
False,False,False,True
True,False,False,True
False,False,False,True
True,True,True,True
False,False,False,True
False,False,False,False
False,True,False,True
True,True,False,False
True,True,True,False
False,True,True,True
False,True,False,True
False,True,True,True
True,False,True,False
True,True,True,False
True,False,True,False
True,False,True,True
True,True,True,False
False,False,False,True
False,False,True,False
True,False,False,True
True,False,True,True
False,False,True,True
True,True,False,False
True,True,True,False
False,True,False,False
True,False,False,True
False,False,False,False
True,False,True,True
False,True,False,False
True,True,False,False
True,True,False,False
False,False,False,False
False,False,True,True
True,False,False,False
False,True,False,False
False,True,True,False
True,False,True,False
False,True,True,False
True,False,False,False
False,True,True,False
True,True,False,False
False,True,True,False
False,False,True,False
False,True,True,False
True,False,False,False
False,True,False,True
False,False,False,True
True,True,True,False
True,False,True,False
True,True,False,False
True,True,False,True
False,True,False,False
False,True,False,False
False,True,False,False
True,False,True,False
False,True,True,False
False,True,False,False
False,True,True,False
True,True,True,True
True,True,False,False
False,True,True,True
False,False,False,False
False,False,True,True
False,False,True,False
False,False,False,True
True,False,False,False
False,True,False,False
False,False,True,True
True,True,False,True
True,False,True,False
True,True,False,False
True,True,False,False
False,False,True,False
True,False,True,False
True,True,True,True
False,False,False,False
True,True,False,False
True,True,True,True
False,False,True,True
True,True,True,False
True,False,True,False
True,True,True,False
True,True,False,False
False,True,True,False
True,True,False,False
True,True,True,True
True,True,False,False
True,False,False,False
False,True,True,True
True,False,True,False
True,False,False,True
True,False,True,False
True,True,True,False
False,True,True,False
False,True,True,False
False,True,True,False
False,False,True,False
True,False,True,False
False,True,True,False
True,True,False,False
False,True,True,False
True,True,False,True
True,False,False,True
False,True,False,False
True,True,False,True
True,True,False,False
False,False,False,False
False,True,False,False
True,False,False,True
False,True,True,True
False,False,False,False
True,True,True,True
True,True,True,True
True,True,True,False
False,True,True,False
True,True,False,False
False,True,True,False
False,True,False,False
True,True,True,False
True,True,True,True
True,True,True,False
False,True,False,True
False,True,True,True
False,True,True,False
True,True,True,True
True,False,True,False
True,False,True,False
False,False,True,False
True,False,True,False
False,True,False,False
False,True,True,False
True,False,True,True
False,False,False,False
True,True,True,False
False,False,False,True
False,False,True,False
True,True,False,False
True,True,True,False
False,False,False,True
False,True,True,True
True,True,True,True
True,True,True,False
True,True,True,False
True,True,True,True
False,True,False,True
False,True,False,True
False,True,False,True
False,True,True,True
True,False,True,False
False,True,False,True
True,True,True,True
True,False,True,True
True,False,True,True
True,True,True,False
False,True,True,False
False,True,True,False
True,False,False,False
True,True,True,True
False,False,False,True
False,False,False,False
True,True,False,True
False,False,False,True
False,False,True,False
True,True,True,False
True,False,True,True
True,True,True,False
False,True,False,False
False,True,False,True
False,True,False,False
False,False,True,True
False,False,False,False
True,True,False,False
True,True,True,True
True,False,False,False
True,False,False,True
False,False,True,True
False,True,True,False
True,False,True,True
False,True,True,False
True,False,True,True
True,True,True,False
True,True,True,True
False,True,True,True
True,False,True,True
True,True,False,True
True,True,True,True
True,True,False,False
True,True,False,False
True,True,True,False
False,False,False,False
True,True,False,False
True,True,True,True
False,True,False,False
True,True,False,False
False,False,False,True
False,True,True,False
True,False,True,False
True,True,True,False
True,True,True,False
False,False,False,True
False,True,True,False
True,True,False,False
False,True,False,False
True,True,False,False
False,False,True,True
False,False,False,True
False,True,True,True
True,False,False,False
True,True,False,True
False,True,True,False
False,True,True,False
False,True,True,False
False,True,True,False
True,True,True,False
True,False,True,True
True,False,False,True
True,False,True,False
True,True,False,False
False,False,True,False
True,False,True,False
False,False,False,True
False,True,False,False
True,True,False,True
True,False,True,False
True,True,True,False
False,False,True,False
False,False,False,False
False,False,True,False
True,True,False,False
True,False,False,False
False,True,False,False
False,False,False,False
True,True,True,False
False,False,True,False
True,True,False,False
False,True,False,True
True,False,True,False
False,False,False,False
True,True,True,False
False,True,False,False
True,False,True,True
True,False,False,False
True,True,True,False
False,True,False,False
True,False,True,True
True,True,False,True
True,False,False,True
True,True,True,False
True,False,False,False
False,True,True,True
False,True,False,False
True,True,True,False
False,True,True,True
False,False,True,True
True,False,True,True
False,False,True,False
True,False,True,True
False,True,False,False
True,False,False,True
True,True,True,False
False,True,True,False
True,True,True,True
True,False,False,False
True,False,False,False
False,True,False,True
True,True,False,False
True,True,True,False
True,False,True,True
True,True,True,True
False,False,False,False
True,True,False,False
True,True,True,True
False,True,True,False
False,True,False,False
True,False,True,False
True,True,True,True
False,False,False,False
False,False,False,True
True,False,True,True
False,False,True,False
False,False,True,True
True,False,True,True
False,False,False,False
False,True,False,False
True,True,True,True
True,False,False,False
True,False,True,True
True,True,False,False
True,False,False,True
False,True,False,True
True,True,False,True
False,True,True,False
False,False,False,True
True,False,True,True
False,False,True,False
True,True,True,False
True,True,True,False
True,False,False,True
False,True,False,False
True,True,True,True
True,True,True,True
False,True,True,False
False,True,True,True
True,True,False,False
False,False,False,False
True,False,False,False
False,False,False,False
False,False,True,False
False,True,True,True
False,False,False,False
False,True,True,False
False,True,False,False
False,True,True,False
False,True,True,False
True,True,True,False
True,False,False,True
True,True,False,False
True,False,True,True
False,True,False,True
True,False,True,False
True,False,True,True
True,True,True,True
True,False,True,False
False,False,False,True
False,True,False,False
True,False,False,False
False,True,True,False
False,False,True,True
True,False,False,False
True,True,False,True
False,True,False,True
True,False,True,False
True,False,True,False
True,False,True,False
True,True,True,False
False,True,False,False
True,False,True,False
False,True,True,False
True,True,True,True
False,True,False,False
True,True,False,True
True,True,True,True
True,False,True,False
False,True,False,True
True,False,True,False
True,True,True,True
False,True,False,False
True,False,False,True
True,True,True,False
True,True,True,False
True,True,True,False
False,False,True,False
True,True,False,False
False,False,True,True
False,True,False,False
True,True,False,False
True,True,False,False
True,True,False,False
False,False,True,True
True,True,True,True
True,True,True,True
True,False,False,False
False,True,True,False
False,True,False,False
False,True,True,False
False,False,True,True
True,True,True,False
False,False,False,False
False,True,False,False
False,True,False,True
False,False,True,False
True,True,False,True
False,True,False,False
True,True,True,True
True,False,False,True
True,False,False,False
False,True,False,True
False,True,True,False
True,False,False,False
False,True,False,False
True,True,True,False
True,False,True,True
False,False,False,False
True,False,True,True
True,True,True,False
False,True,True,False
False,True,False,True
False,False,True,True
False,True,False,True
True,False,False,False
False,True,True,False
True,True,True,False
True,True,True,False
False,False,True,False
True,False,False,False
False,True,False,False
False,False,True,False
True,False,False,True
True,True,True,False
True,False,True,True
False,False,True,True
True,True,True,True
True,True,True,False
True,True,False,False
False,True,True,False
False,True,True,True
True,False,False,True
True,False,True,False
True,False,True,True
False,False,False,True
True,True,True,False
False,False,True,True
True,False,True,True
False,True,True,True
False,False,True,False
False,False,True,False
False,True,True,False
True,False,False,True
False,True,True,False
False,True,False,True
False,True,True,True
True,True,False,True
True,False,True,False
True,False,True,False
False,False,False,True
True,False,True,False
False,True,True,True
True,True,True,True
False,True,True,False
False,True,False,True
False,False,True,True
True,False,True,True
True,True,False,True
False,True,True,True
True,True,False,False
True,False,True,False
True,False,False,False
True,True,True,False
False,False,True,False
False,True,True,False
True,True,False,False
False,False,False,False
True,False,True,True
False,True,True,True
True,False,True,False
True,False,False,False
False,False,True,True
False,False,True,False
False,True,False,True
True,False,True,True
True,True,True,True
False,True,True,True
True,False,False,False
False,False,True,False
False,True,False,True
False,False,False,False
False,True,False,False
True,True,True,False
False,True,True,True
True,True,True,False
False,True,True,False
False,False,True,False
True,True,False,False
True,True,True,False
False,True,False,True
True,True,True,False
False,False,True,False
True,True,True,True
False,False,False,True
False,False,False,False
False,True,True,True
False,True,True,True
True,True,True,True
False,True,False,False
False,True,True,False
True,False,True,False
True,True,True,True
True,True,False,False
True,True,False,True
False,True,False,True
True,True,True,False
True,True,True,False
True,True,True,False
False,True,True,False
False,True,True,True
True,False,True,True
True,True,False,True
False,True,True,False
True,True,True,False
False,True,False,False
True,True,True,False
True,False,False,True
True,True,True,False
False,False,True,True
True,True,False,True
True,True,True,False
True,False,True,False
True,False,False,False
True,False,False,False
True,False,True,True
True,True,False,True
True,True,True,True
False,True,True,False
False,True,True,True
False,False,True,True
True,True,False,False
False,False,False,True
False,True,True,True
False,False,True,False
True,True,False,True
True,True,True,False
True,True,False,False
True,True,False,False
True,False,True,True
False,True,True,False
False,False,False,False
True,True,False,True
True,False,False,False
False,False,True,False
